ARTWORKNAM	Nbhd#	Ward#(25)	Ward Name (25)	ADDRESS	POSTAL_COD	POSTCODE2	X_COORDI	Y_COORDI	PARK_NAME	NEAR_ST	NEAR_CST	ARTIST	MEDIA	DATE	INDOORS_OU
BAYVIEW UNDERPASS	41	15	Don Valley West	321 LAWRENCE AVE E	M4N 1T7	M4N1T7	314280.898	4842871.865		LAWRENCE AVE E	BAYVIEW AVE	"SINGLETON, G.A."	"CONCRETE, GLAZED TILE"	1961	OUTDOORS
GALAXY	13	2	Etobicoke Centre	399 THE WEST MALL	M9C 2Y2	M9C2Y2	299481.572	4833515.575	ETOBICOKE CIVIC CENTRE	THE WEST MALL	CIVIC CENTRE CRT	"GLADSTONE, GERALD"	ALUMINUM	1964	OUTDOORS
RHYTHM OF EXOTIC PLANTS	50	18	Willowdale	1 PEMBERTON AVE	M2M 4L9	M2M4L9	311646.079	4848739.143		FINCH AVE E	YONGE ST	"SADOWSKA, KRYSTYNA"	STAINLESS STEEL	1965	OUTDOORS
MAN ABOVE MATTER	82	10	Spadina-Fort York	195 PRINCES' BLVD	M6K 3C3	M6K3C3	311131.073	4832247.681		PRINCES' BLVD	PRINCE EDWARD ISLAND CRES	"PRICE, ARTHUR"	BRONZE	1965	OUTDOORS
TENTH ANNIVERSARY OF HUNGARIAN UPRISING	85	4	Parkdale-High Park	1751 LAKE SHORE BLVD W	M6S 5A3	M6S5A3	308910.275	4832747.895	BUDAPEST PARK	LAKE SHORE BLVD W	BUDAPEST LANE	"TOLGYESI, VICTOR"	BRONZE	1966	OUTDOORS
BUTTERFLY (THE)	17	3	Etobicoke-Lakeshore	47 STATION RD	M8V 2R1	M8V2R1	305280.578	4830334.998		STANLEY AVE	STATION RD	"BAIRD, RON"	PAINTED STEEL	1966	OUTDOORS
FLOWER POWER	77	10	Spadina-Fort York	26 TELEGRAM MEWS	M5V 3Z4	M5V3Z4	313268.829	4833255.732	NORTHERN LINEAR PARK	FORT YORK BLVD	TELEGRAM MEWS	"DI SUVERO, MARK"	PAINTED STEEL	1967	OUTDOORS
NO SHOES	77	13	Toronto Centre	160 MILL ST	M5A 1G9	M5A1G9	316531.81	4834482.89		MILL ST	TANNERY RD	"DI SUVERO, MARK"	PAINTED STEEL	1967	OUTDOORS
MONUMENT TO THE SECOND CENTURY	35	6	York Centre	578 FINCH AVE W	M2R 1N7	M2R1N7	308829.898	4847873.085	HERBERT H CARNEGIE CENTENNIAL CENTRE	FINCH AVE W	TORRESDALE AVE	"BAIRD, RON"	PAINTED STEEL	1967	OUTDOORS
THREE DISKS	87	4	Parkdale-High Park	375 COLBORNE LODGE DR	M6R 2Z3	M6R2Z3	307774.705	4834272.672	HIGH PARK	COLBORNE LODGE DR	SPRING RD	"KADISHMAN, MENASHE"	PAINTED STEEL	1967	OUTDOORS
TEMPLE (THE)	87	4	Parkdale-High Park	375 COLBORNE LODGE DR	M6R 2Z3	M6R2Z3	307707.076	4834421.807	HIGH PARK	COLBORNE LODGE DR	SPRING RD	"DALWOOD, HUBERT"	STAINLESS STEEL	1967	OUTDOORS
NOVEMBER'S PYRAMID	87	4	Parkdale-High Park	375 COLBORNE LODGE DR	M6R 2Z3	M6R2Z3	307877.027	4834376.611	HIGH PARK	COLBORNE LODGE DR	PARKSIDE DR	"SCHOTTLANDER, BERNARD"	PAINTED STEEL	1967	OUTDOORS
MID SUMMER'S NIGHT DREAM	87	4	Parkdale-High Park	375 COLBORNE LODGE DR	M6R 2Z3	M6R2Z3	307803.174	4834329.865	HIGH PARK	COLBORNE LODGE DR	SPRING RD	"COUZIJN, WESSEL"	"MASONRY, PLATED STEEL"	1967	OUTDOORS
